Timestamp,AccX,AccY,AccZ,GyrX,GyrY,GyrZ
2026-05-22T15:35:20.771521,0.0,0.0,0.0,0.0,-0.0,0.0
2026-05-22T15:35:20.772104,0.0,0.0,0.0,0.0,-0.0,0.0
2026-05-22T15:35:20.773865,0.0,0.0,0.0,0.0,-0.0,0.0
2026-05-22T15:35:20.802846,0.0,0.0,0.0,0.0,-0.0,0.0
2026-05-22T15:35:20.803542,0.0,0.0,0.0,0.0,-0.0,0.0
2026-05-22T15:35:20.803751,0.0,0.0,0.0,0.0,-0.0,0.0
2026-05-22T15:35:20.831823,0.0,0.0,0.0,0.0,-0.0,0.0
2026-05-22T15:35:20.832351,0.0,0.0,0.0,0.0,-0.0,0.0
2026-05-22T15:35:20.833944,0.0,0.0,0.0,0.0,-0.0,0.0
2026-05-22T15:35:20.862265,0.0,0.0,0.0,0.0,-0.0,0.0
2026-05-22T15:35:20.862660,0.0,0.0,0.0,0.0,-0.0,0.0
2026-05-22T15:35:20.863231,0.0,0.0,0.0,0.0,-0.0,0.0
2026-05-22T15:35:20.891837,0.0,0.0,0.0,0.0,-0.0,0.0
2026-05-22T15:35:20.892416,0.0,0.0,0.0,0.0,-0.0,0.0
2026-05-22T15:35:20.921633,0.0,0.0,0.0,0.0,-0.0,0.0
2026-05-22T15:35:20.922353,0.0,0.0,0.0,0.0,-0.0,0.0
2026-05-22T15:35:20.951448,0.0,0.0,0.0,0.0,-0.0,0.0
2026-05-22T15:35:20.952865,0.0,0.0,0.0,0.0,-0.0,0.0
2026-05-22T15:35:20.953308,0.0,0.0,0.0,0.0,-0.0,0.0
2026-05-22T15:35:20.953602,0.0,0.0,0.0,0.0,-0.0,0.0
2026-05-22T15:35:20.981899,0.0,0.0,0.0,0.0,-0.0,0.0
2026-05-22T15:35:20.982709,0.0,0.0,0.0,0.0,-0.0,0.0
2026-05-22T15:35:21.011320,0.0,0.0,0.0,0.0,-0.0,0.0
2026-05-22T15:35:21.013026,0.0,0.0,0.0,0.0,-0.0,0.0
2026-05-22T15:35:21.013454,0.0,0.0,0.0,0.0,-0.0,0.0
2026-05-22T15:35:21.014345,0.0,0.0,0.0,0.0,-0.0,0.0
2026-05-22T15:35:21.042871,0.0,0.0,0.0,0.0,-0.0,0.0
2026-05-22T15:35:21.043562,0.0,0.0,0.0,0.0,-0.0,0.0
2026-05-22T15:35:21.043786,0.0,0.0,0.0,0.0,-0.0,0.0
2026-05-22T15:35:21.043887,0.0,0.0,0.0,0.0,-0.0,0.0
2026-05-22T15:35:21.071643,0.0,0.0,0.0,0.0,-0.0,0.0
2026-05-22T15:35:21.072181,0.0,0.0,0.0,0.0,-0.0,0.0
2026-05-22T15:35:21.074266,0.0,0.0,0.0,0.0,-0.0,0.0
2026-05-22T15:35:21.102660,0.0,0.0,0.0,0.0,-0.0,0.0
2026-05-22T15:35:21.103380,0.0,0.0,0.0,0.0,-0.0,0.0
2026-05-22T15:35:21.103505,0.0,0.0,0.0,0.0,-0.0,0.0
2026-05-22T15:35:21.131847,0.0,0.0,0.0,0.0,-0.0,0.0
2026-05-22T15:35:21.132372,0.0,0.0,0.0,0.0,-0.0,0.0
2026-05-22T15:35:21.133727,0.0,0.0,0.0,0.0,-0.0,0.0
2026-05-22T15:35:21.162545,0.0,0.0,0.0,0.0,-0.0,0.0
2026-05-22T15:35:21.163146,0.0,0.0,0.0,0.0,-0.0,0.0
2026-05-22T15:35:21.163517,0.0,0.0,0.0,0.0,-0.0,0.0
2026-05-22T15:35:21.192241,0.0,0.0,0.0,0.0,-0.0,0.0
2026-05-22T15:35:21.221631,0.0,0.0,0.0,0.0,-0.0,0.0
2026-05-22T15:35:21.222825,0.0,0.0,0.0,0.0,-0.0,0.0
2026-05-22T15:35:21.252251,0.0,0.0,0.0,0.0,-0.0,0.0
2026-05-22T15:35:21.253387,0.0,0.0,0.0,0.0,-0.0,0.0
2026-05-22T15:35:21.253619,0.0,0.0,0.0,0.0,-0.0,0.0
2026-05-22T15:35:21.253799,0.0,0.0,0.0,0.0,-0.0,0.0
2026-05-22T15:35:21.281492,0.0,0.0,0.0,0.0,-0.0,0.0
2026-05-22T15:35:21.282028,0.0,0.0,0.0,0.0,-0.0,0.0
2026-05-22T15:35:21.283120,0.0,0.0,0.0,0.0,-0.0,0.0
2026-05-22T15:35:21.283363,0.0,0.0,0.0,0.0,-0.0,0.0
2026-05-22T15:35:21.311458,0.0,0.0,0.0,0.0,-0.0,0.0
2026-05-22T15:35:21.312873,0.0,0.0,0.0,0.0,-0.0,0.0
2026-05-22T15:35:21.342167,0.0,0.0,0.0,0.0,-0.0,0.0
2026-05-22T15:35:21.342683,0.0,0.0,0.0,0.0,-0.0,0.0
2026-05-22T15:35:21.372445,0.0,0.0,0.0,0.0,-0.0,0.0
2026-05-22T15:35:21.373137,0.0,0.0,0.0,0.0,-0.0,0.0
2026-05-22T15:35:21.373291,0.0,0.0,0.0,0.0,-0.0,0.0
2026-05-22T15:35:21.374783,0.0,0.0,0.0,0.0,-0.0,0.0
2026-05-22T15:35:21.402933,0.0,0.0,0.0,0.0,-0.0,0.0
2026-05-22T15:35:21.403519,0.0,0.0,0.0,0.0,-0.0,0.0
2026-05-22T15:35:21.403859,0.0,0.0,0.0,0.0,-0.0,0.0
2026-05-22T15:35:21.404017,0.0,0.0,0.0,0.0,-0.0,0.0
2026-05-22T15:35:21.433504,0.0,0.0,0.0,0.0,-0.0,0.0
2026-05-22T15:35:21.434072,0.0,0.0,0.0,0.0,-0.0,0.0
2026-05-22T15:35:21.434199,0.0,0.0,0.0,0.0,-0.0,0.0
2026-05-22T15:35:21.434320,0.0,0.0,0.0,0.0,-0.0,0.0
2026-05-22T15:35:21.462450,0.0,0.0,0.0,0.0,-0.0,0.0
2026-05-22T15:35:21.462829,0.0,0.0,0.0,0.0,-0.0,0.0
2026-05-22T15:35:21.463368,0.0,0.0,0.0,0.0,-0.0,0.0
2026-05-22T15:35:21.491903,0.0,0.0,0.0,0.0,-0.0,0.0
2026-05-22T15:35:21.492433,0.0,0.0,0.0,0.0,-0.0,0.0
2026-05-22T15:35:21.493778,0.0,0.0,0.0,0.0,-0.0,0.0
2026-05-22T15:35:21.522424,0.0,0.0,0.0,0.0,-0.0,0.0
2026-05-22T15:35:21.522871,0.0,0.0,0.0,0.0,-0.0,0.0
2026-05-22T15:35:21.553660,0.0,0.0,0.0,0.0,-0.0,0.0
2026-05-22T15:35:21.554390,0.0,0.0,0.0,0.0,-0.0,0.0
2026-05-22T15:35:21.554552,0.0,0.0,0.0,0.0,-0.0,0.0
2026-05-22T15:35:21.554680,0.0,0.0,0.0,0.0,-0.0,0.0
2026-05-22T15:35:21.582390,0.0,0.0,0.0,0.0,-0.0,0.0
2026-05-22T15:35:21.583009,0.0,0.0,0.0,0.0,-0.0,0.0
2026-05-22T15:35:21.613131,0.0,0.0,0.0,0.0,-0.0,0.0
2026-05-22T15:35:21.613816,0.0,0.0,0.0,0.0,-0.0,0.0
2026-05-22T15:35:21.613978,0.0,0.0,0.0,0.0,-0.0,0.0
2026-05-22T15:35:21.614207,0.0,0.0,0.0,0.0,-0.0,0.0
2026-05-22T15:35:21.642055,0.0,0.0,0.0,0.0,-0.0,0.0
2026-05-22T15:35:21.642677,0.0,0.0,0.0,0.0,-0.0,0.0
2026-05-22T15:35:21.643024,0.0,0.0,0.0,0.0,-0.0,0.0
2026-05-22T15:35:21.673447,0.0,0.0,0.0,0.0,-0.0,0.0
2026-05-22T15:35:21.674006,0.0,0.0,0.0,0.0,-0.0,0.0
2026-05-22T15:35:21.674676,0.0,0.0,0.0,0.0,-0.0,0.0
2026-05-22T15:35:21.703643,0.0,0.0,0.0,0.0,-0.0,0.0
2026-05-22T15:35:21.704206,0.0,0.0,0.0,0.0,-0.0,0.0
2026-05-22T15:35:21.704377,0.0,0.0,0.0,0.0,-0.0,0.0
2026-05-22T15:35:21.732008,0.0,0.0,0.0,0.0,-0.0,0.0
2026-05-22T15:35:21.732520,0.0,0.0,0.0,0.0,-0.0,0.0
2026-05-22T15:35:21.733880,0.0,0.0,0.0,0.0,-0.0,0.0
2026-05-22T15:35:21.762811,0.0,0.0,0.0,0.0,-0.0,0.0
2026-05-22T15:35:21.763328,0.0,0.0,0.0,0.0,-0.0,0.0
2026-05-22T15:35:21.763479,0.0,0.0,0.0,0.0,-0.0,0.0
2026-05-22T15:35:21.791692,0.0,0.0,0.0,0.0,-0.0,0.0
2026-05-22T15:35:21.792340,0.0,0.0,0.0,0.0,-0.0,0.0
2026-05-22T15:35:21.795103,0.0,0.0,0.0,0.0,-0.0,0.0
2026-05-22T15:35:21.823708,0.0,0.0,0.0,0.0,-0.0,0.0
2026-05-22T15:35:21.824115,0.0,0.0,0.0,0.0,-0.0,0.0
2026-05-22T15:35:21.851563,0.0,0.0,0.0,0.0,-0.0,0.0
2026-05-22T15:35:21.852176,0.0,0.0,0.0,0.0,-0.0,0.0
2026-05-22T15:35:21.852436,0.0,0.0,0.0,0.0,-0.0,0.0
2026-05-22T15:35:21.881310,0.0,0.0,0.0,0.0,-0.0,0.0
2026-05-22T15:35:21.882377,0.0,0.0,0.0,0.0,-0.0,0.0
2026-05-22T15:35:21.882701,0.0,0.0,0.0,0.0,-0.0,0.0
2026-05-22T15:35:21.883324,0.0,0.0,0.0,0.0,-0.0,0.0
2026-05-22T15:35:21.911442,0.0,0.0,0.0,0.0,-0.0,0.0
2026-05-22T15:35:21.912590,0.0,0.0,0.0,0.0,-0.0,0.0
2026-05-22T15:35:21.913942,0.0,0.0,0.0,0.0,-0.0,0.0
2026-05-22T15:35:21.942617,0.0,0.0,0.0,0.0,-0.0,0.0
2026-05-22T15:35:21.943139,0.0,0.0,0.0,0.0,-0.0,0.0
2026-05-22T15:35:21.943453,0.0,0.0,0.0,0.0,-0.0,0.0
